,label,sentence
2122,joy,On holidays - just driving along a road beautiful scenery. Just with my boyfriend - not really talking but just feeling overwhelmed.
198,anger,[ I sometimes quarrel with my mother because she blames me, though I have not in any way been connected to some events.]
5654,joy,Yesterday when I received a B on a history midterm. I felt overjoyed after having received C's previously.
3004,disgust,I met three drunk boys, almost children, they didn't look like normal people.
3798,guilt,I beat up a female friend after I heard the defamatory stories that she had been telling. I was later called to explain my behaviour
346,shame,When I was caught stealing money from my father.
5630,disgust,When I found out the CIA was mining Nicaraguan harbors.
969,shame,When I lied to my girlfriend, telling her that I had passed an exam, when I actually did not even take it.
17,sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time.
4328,joy,At a party, on New Year's Eve, I met on old friend whom I had not seen for some time
4411,joy,When I received some good news : I obtained an amount of money I needed to buy something I had been planning to buy.
3490,disgust,A drunk walked out in front of a car at night. Both lower legs were broken. His shoe was thrown about 50 yards after the accident.
3609,shame,A mishap suffered on misinterpreting a girl's proposition.
438,guilt,Many years ago a friend wanted me to with her to southern Europe and I preferred to travel alone. I felt guilty because I wanted to go on my own.
5078,anger,Some people were sitting outside and saying things which were not really true.
728,fear,I was hunting, and was lost in the fog in the mountains.
2900,joy,When I understood I was admitted to the Sofia University.
5025,shame,When I told a girl that I could not take her out that night as I was entertaining my mother who had come from home. However, I later met this girl with another girlfriend at a hostel where I had taken out another girlfriend of mine.
3418,anger,NO RESPONSE.
7626,anger,My friend half-teasingly called me a bad nickname. I felt insulted and kicked his hip in anger. I was stable later and did not feel angry at him. In fact I was afraid that the other friends who were with us would think that I was an intolerant person. However I could not apologize, so I pretended that nothing had happened and smiled when I left. My friend did not say anything but just watched me leave.
5448,guilt,Broken a friend's cup.
5910,shame,[ I have never felt this emotion.]
6565,guilt,I once stole my father's money and denied having done it. Instead father threatened my young brother and he was beaten. He was innocent and I felt guilty.
3075,joy,I was very glad when I learned I was a student already. I heard about it over the phone, I didn't believe it at first.
5226,joy,When my elder sister had a baby girl. She was the first girl in the family after 19 years of baby boys.
2057,joy,Getting a good mark for a subject I had worked hard at but expected only a moderate mark.
7295,guilt,One saturday night I did some meaningless work and went to bed very late. Next morning I had was very sleepy so I continued sleeping even though I had work to do and I missed the Sunday service.
183,joy,I had a summer job in Sweden, and my boyfriend came to meet me on my birthday.
7229,joy,Doing well in an exam
2049,guilt,After having been told not to take the car, I took it anyway and felt guilty about having taken it.
4023,fear,The weather is very bad (fog and slipperiness) the newscast reports many traffic accidents and my boyfriend is driving home and still has 60 kilometers to go.
5294,shame,When I did not do well in the PG310 test I, I got only 4 marks above the pass marks despite my effort. I felt bad because quite a number of friends did better.
571,disgust,A friend's boy-friend treated her very badly, let her serve him, provoked her and just utilized her.
4579,joy,I was told that I had passed the statistics exam. I had not expected this so I was very happy.
